domain,depin_network,depin_price,web2_comparator,web2_price,discount_factor,subsidy_risk,source_depin,source_web2,service_equivalence_note,is_new
IoT (LoRaWAN),Helium IoT,$0.00001/packet,Senet,~$0.0008/packet,80x,Medium,"Helium docs (docs.helium.com), DC pricing","Senet enterprise pricing, 2024",LoRaWAN packets; coverage varies by geography,False
Mobile 5G,Helium Mobile,$30/mo unlimited,T-Mobile,$70/mo unlimited,2.3x,High,Helium Mobile pricing page,T-Mobile Essentials plan,Helium Mobile relies on T-Mobile offload; not pure DePIN,False
Video transcoding,Livepeer,$0.005/min,AWS MediaConvert,$0.024/min,4.8x,Medium,Livepeer Studio pricing,AWS MediaConvert pricing (us-east-1),Comparable quality for standard transcoding profiles,False
Decentralized storage,Filecoin,~$0.01/GB-month,AWS S3,$0.023/GB-month,2.3x,Low-Medium,Filfox active storage deals,AWS S3 Standard pricing (us-east-1),Retrieval speed and reliability differ; Filecoin optimized for archival,False
Street mapping,Hivemapper,~$5/1000 tiles,Google Maps API,$7/1000 loads,1.4x,Medium,Hivemapper MIP-7 pricing,Google Maps Platform pricing,Coverage density differs significantly; Google has global baseline,False
Bandwidth/proxy,UpRock,~$1.50/GB residential,Bright Data,$12.75/GB residential,8.5x,High,"UpRock pricing page (uprock.com), free tier + paid plans",Bright Data residential proxy pricing (brightdata.com/pricing),UpRock uses idle bandwidth from real devices; quality/reliability may differ from enterprise proxy providers; IP pool size difference,True
AI training data,Grass,Indirect (token rewards),Scale AI / Appen,$25-40/hr annotator,N/A,High,Grass docs (getgrass.io); no posted per-unit price; value accrues via GRASS token to bandwidth contributors,Scale AI enterprise pricing; Appen public rate cards,"Not directly comparable: Grass provides raw web data via idle bandwidth, not labeled training data; different point in data pipeline",True
Vehicle data,DIMO,Free to share (earn DIMO tokens),Otonomo / Wejo,$0.50-3.00/vehicle/month,N/A,High,DIMO app + docs (dimo.zone); users earn DIMO for sharing; data marketplace launched 2024,Otonomo enterprise pricing (otonomo.io); Wejo partner pricing 2023,DIMO collects OBD-II/CAN data from user vehicles; Otonomo aggregates OEM data feeds; coverage and granularity differ,True
Weather data,WeatherXM,~$0.01/API call (data marketplace),Tomorrow.io,$0.05-0.20/API call,10x,Medium,WeatherXM data marketplace (weatherxm.com); station operators earn WXM; API pricing tiered,Tomorrow.io API pricing (developer plan); DTN enterprise (not publicly posted),"WeatherXM has 6,000+ stations with hyperlocal data; Tomorrow.io uses satellite + model ensemble; quality depends on station density in area",True
VPN/privacy relay,Anyone Protocol,Free relay (earn ANYONE for running relay),NordVPN / ExpressVPN,$3.49-8.32/month,N/A,High,Anyone Protocol (anyone.io); formerly Nym-adjacent; relay operators earn tokens; end-user pricing TBD,NordVPN ($3.49/mo annual plan); ExpressVPN ($8.32/mo annual plan),Anyone uses onion-routing relay network; different privacy model from centralized VPN; speed/latency may differ; censorship resistance vs convenience tradeoff,True
Community WiFi,Wayru / WiFiDabba,~$2-5/month (regional pricing),ISP retail (LatAm / India),$15-30/month,6.4x,Medium-High,Wayru (wayru.io) community WiFi pricing for Latin America; WiFiDabba (wifidabba.com) India pricing,Average ISP pricing in Latin America (GSMA data); India ISP pricing (Jio/Airtel),Community WiFi has limited range and speed vs fiber/DSL; serves underserved communities where ISP coverage is absent; apples-to-oranges for urban markets,True
Wearable health data,CUDIS,~$69 smart ring (earn CUDIS),Oura Ring,$299 ring + $5.99/mo,4.3x,High,CUDIS (cudis.xyz) smart ring pricing; users earn CUDIS tokens for health data sharing,Oura Ring Gen3 ($299) + subscription ($5.99/mo); Whoop ($239/yr subscription model),CUDIS ring has fewer sensors/features than Oura; value proposition is token earning + data ownership; health accuracy not independently validated,True
IoT infrastructure (L1),IoTeX,~$0.01/tx (gas fees),AWS IoT Core,$1.00/million messages,N/A,Medium,IoTeX gas fees (iotex.io); purpose-built IoT blockchain; W3bstream middleware,AWS IoT Core pricing (per-message model),Not directly comparable: IoTeX is a blockchain for IoT devices; AWS IoT Core is cloud middleware; different abstraction layers,True
